Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;Call-8;Best-8;Imp-8;Eq-8;Wrs-8;Tm-8;Call-9;Best-9;Imp-9;Eq-9;Wrs-9;Tm-9;Call-10;Best-10;Imp-10;Eq-10;Wrs-10;Tm-10;
99;0,264;232,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;42;16;16;1;25;0,010206;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;28;28;28;0;0;0,020714;4;0;0;2;2;6,27E-4;6;0;0;3;3;8,75E-4;
100;0,266;231,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;42;16;16;1;25;0,010206;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;29;29;29;0;0;0,021398;4;0;0;2;2;6,27E-4;6;0;0;3;3;8,75E-4;
103;0,268;226,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;44;16;16;2;26;0,010436;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;30;30;30;0;0;0,022055;4;0;0;2;2;6,27E-4;6;0;0;3;3;8,75E-4;
104;0,27;225,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;44;16;16;2;26;0,010436;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;31;31;31;0;0;0,022767;4;0;0;2;2;6,27E-4;6;0;0;3;3;8,75E-4;
107;0,272;223,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;45;16;16;2;27;0,010546;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;32;32;32;0;0;0,023425;4;0;0;2;2;6,27E-4;7;0;0;3;4;9,62E-4;
108;0,274;222,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;45;16;16;2;27;0,010546;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;33;33;33;0;0;0,0241;4;0;0;2;2;6,27E-4;7;0;0;3;4;9,62E-4;
109;0,276;218,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;45;16;16;2;27;0,010546;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;34;34;34;0;0;0,024759;4;0;0;2;2;6,27E-4;7;0;0;3;4;9,62E-4;
112;0,278;217,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;48;17;17;2;29;0,010886;6;4;4;1;1;0,006016;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;34;34;34;0;0;0,024759;4;0;0;2;2;6,27E-4;7;0;0;3;4;9,62E-4;
119;0,282;215,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;52;17;17;3;32;0,011403;7;4;4;2;1;0,006551;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;35;35;35;0;0;0,025419;5;0;0;2;3;7,26E-4;7;0;0;3;4;9,62E-4;
124;0,284;213,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;5;0;0;1;4;0,002226;56;18;18;3;35;0,011829;7;4;4;2;1;0,006551;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;35;35;35;0;0;0,025419;6;0;0;3;3;8,08E-4;7;0;0;3;4;9,62E-4;
